,Fecha_Retiro,Ciclo_Estacion_Retiro,ct,index
34962,2021-10-13,307.0,14,34962
34961,2021-10-13,306.0,22,34961
34960,2021-10-13,305.0,65,34960
34959,2021-10-13,304.0,22,34959
34958,2021-10-13,303.0,37,34958
34957,2021-10-13,302.0,55,34957
34956,2021-10-13,301.0,33,34956
34955,2021-10-13,300.0,24,34955
34954,2021-10-13,299.0,28,34954
34953,2021-10-13,298.0,14,34953
34952,2021-10-13,297.0,54,34952
34951,2021-10-13,296.0,22,34951
34950,2021-10-13,295.0,78,34950
34949,2021-10-13,294.0,12,34949
34948,2021-10-13,293.0,12,34948
34947,2021-10-13,292.0,33,34947
34946,2021-10-13,291.0,41,34946
34945,2021-10-13,290.0,26,34945
34944,2021-10-13,289.0,16,34944
34943,2021-10-13,288.0,31,34943
34942,2021-10-13,287.0,28,34942
34941,2021-10-13,286.0,50,34941
34940,2021-10-13,285.0,23,34940
34939,2021-10-13,284.0,22,34939
34938,2021-10-13,283.0,18,34938
34937,2021-10-13,282.0,14,34937
34936,2021-10-13,281.0,46,34936
34935,2021-10-13,280.0,10,34935
34934,2021-10-13,279.0,22,34934
34933,2021-10-13,278.0,17,34933
34932,2021-10-13,277.0,33,34932
34931,2021-10-13,276.0,63,34931
34930,2021-10-13,275.0,7,34930
34929,2021-10-13,274.0,34,34929
34928,2021-10-13,273.0,29,34928
34927,2021-10-13,272.0,65,34927
34926,2021-10-13,271.0,104,34926
34925,2021-10-13,270.0,54,34925
34924,2021-10-13,269.0,16,34924
34923,2021-10-13,268.0,8,34923
34922,2021-10-13,267.0,26,34922
34921,2021-10-13,266.0,77,34921
34920,2021-10-13,265.0,23,34920
34919,2021-10-13,264.0,14,34919
34918,2021-10-13,263.0,35,34918
34917,2021-10-13,262.0,18,34917
34916,2021-10-13,261.0,11,34916
34915,2021-10-13,260.0,19,34915
34914,2021-10-13,259.0,34,34914
34913,2021-10-13,258.0,36,34913
34912,2021-10-13,257.0,49,34912
34911,2021-10-13,256.0,37,34911
34910,2021-10-13,255.0,30,34910
34909,2021-10-13,254.0,63,34909
34908,2021-10-13,253.0,34,34908
34907,2021-10-13,252.0,18,34907
34906,2021-10-13,251.0,29,34906
34905,2021-10-13,250.0,24,34905
34904,2021-10-13,249.0,13,34904
34903,2021-10-13,248.0,23,34903
34902,2021-10-13,247.0,12,34902
34901,2021-10-13,246.0,31,34901
34900,2021-10-13,245.0,17,34900
34899,2021-10-13,244.0,15,34899
34898,2021-10-13,243.0,21,34898
34897,2021-10-13,241.0,25,34897
34896,2021-10-13,240.0,16,34896
34895,2021-10-13,239.0,27,34895
34894,2021-10-13,238.0,42,34894
34893,2021-10-13,237.0,41,34893
34892,2021-10-13,236.0,21,34892
34891,2021-10-13,235.0,21,34891
34890,2021-10-13,234.0,18,34890
34889,2021-10-13,233.0,21,34889
34888,2021-10-13,232.0,20,34888
34887,2021-10-13,231.0,16,34887
34886,2021-10-13,230.0,18,34886
34885,2021-10-13,229.0,10,34885
34884,2021-10-13,228.0,25,34884
34883,2021-10-13,227.0,11,34883
34882,2021-10-13,226.0,21,34882
34881,2021-10-13,225.0,25,34881
34880,2021-10-13,224.0,23,34880
34879,2021-10-13,223.0,22,34879
34878,2021-10-13,222.0,23,34878
34877,2021-10-13,221.0,18,34877
34876,2021-10-13,220.0,10,34876
34875,2021-10-13,219.0,21,34875
34874,2021-10-13,218.0,18,34874
34873,2021-10-13,217.0,65,34873
34872,2021-10-13,216.0,14,34872
34871,2021-10-13,215.0,16,34871
34870,2021-10-13,214.0,20,34870
34869,2021-10-13,213.0,2,34869
34868,2021-10-13,212.0,32,34868
34867,2021-10-13,211.0,54,34867
34866,2021-10-13,210.0,17,34866
34865,2021-10-13,209.0,31,34865
34864,2021-10-13,208.0,51,34864
34863,2021-10-13,207.0,25,34863
34862,2021-10-13,206.0,52,34862
34861,2021-10-13,205.0,34,34861
34860,2021-10-13,204.0,16,34860
34859,2021-10-13,203.0,10,34859
34858,2021-10-13,202.0,17,34858
34857,2021-10-13,201.0,22,34857
34856,2021-10-13,200.0,14,34856
34855,2021-10-13,199.0,13,34855
34854,2021-10-13,198.0,20,34854
34853,2021-10-13,197.0,65,34853
34852,2021-10-13,196.0,23,34852
34851,2021-10-13,195.0,31,34851
34850,2021-10-13,194.0,57,34850
34849,2021-10-13,192.0,32,34849
34848,2021-10-13,191.0,24,34848
34847,2021-10-13,190.0,31,34847
34846,2021-10-13,189.0,11,34846
34845,2021-10-13,188.0,24,34845
34844,2021-10-13,187.0,47,34844
34843,2021-10-13,186.0,61,34843
34842,2021-10-13,185.0,41,34842
34841,2021-10-13,184.0,27,34841
34840,2021-10-13,183.0,79,34840
34839,2021-10-13,182.0,104,34839
34838,2021-10-13,181.0,57,34838
34837,2021-10-13,180.0,57,34837
34836,2021-10-13,179.0,59,34836
34835,2021-10-13,178.0,42,34835
34834,2021-10-13,177.0,30,34834
34833,2021-10-13,176.0,17,34833
34832,2021-10-13,175.0,7,34832
34831,2021-10-13,174.0,88,34831
34830,2021-10-13,173.0,44,34830
34829,2021-10-13,172.0,41,34829
34828,2021-10-13,171.0,31,34828
34827,2021-10-13,170.0,19,34827
34826,2021-10-13,169.0,32,34826
34825,2021-10-13,168.0,40,34825
34824,2021-10-13,167.0,29,34824
34823,2021-10-13,166.0,28,34823
34822,2021-10-13,165.0,45,34822
34821,2021-10-13,164.0,57,34821
34820,2021-10-13,163.0,40,34820
34819,2021-10-13,162.0,44,34819
34818,2021-10-13,161.0,26,34818
34817,2021-10-13,160.0,25,34817
34816,2021-10-13,159.0,37,34816
34815,2021-10-13,158.0,66,34815
34814,2021-10-13,157.0,22,34814
34813,2021-10-13,156.0,48,34813
34812,2021-10-13,155.0,20,34812
34811,2021-10-13,154.0,61,34811
34810,2021-10-13,153.0,40,34810
34809,2021-10-13,152.0,31,34809
34808,2021-10-13,151.0,65,34808
34807,2021-10-13,150.0,54,34807
34806,2021-10-13,149.0,66,34806
34805,2021-10-13,148.0,26,34805
34804,2021-10-13,147.0,35,34804
34803,2021-10-13,146.0,71,34803
34802,2021-10-13,145.0,69,34802
34801,2021-10-13,144.0,59,34801
34800,2021-10-13,143.0,42,34800
34799,2021-10-13,142.0,49,34799
34798,2021-10-13,141.0,75,34798
34797,2021-10-13,140.0,41,34797
34796,2021-10-13,139.0,51,34796
34795,2021-10-13,138.0,35,34795
34794,2021-10-13,137.0,52,34794
34793,2021-10-13,136.0,79,34793
34792,2021-10-13,135.0,70,34792
34791,2021-10-13,134.0,44,34791
34790,2021-10-13,133.0,69,34790
34789,2021-10-13,132.0,27,34789
34788,2021-10-13,131.0,46,34788
34787,2021-10-13,130.0,41,34787
34786,2021-10-13,129.0,59,34786
34785,2021-10-13,128.0,42,34785
34784,2021-10-13,127.0,34,34784
34783,2021-10-13,126.0,26,34783
34782,2021-10-13,125.0,70,34782
34781,2021-10-13,124.0,78,34781
34780,2021-10-13,123.0,55,34780
34779,2021-10-13,122.0,24,34779
34778,2021-10-13,121.0,69,34778
34777,2021-10-13,120.0,49,34777
34776,2021-10-13,119.0,58,34776
34775,2021-10-13,118.0,32,34775
34774,2021-10-13,117.0,45,34774
34773,2021-10-13,116.0,46,34773
34772,2021-10-13,115.0,60,34772
34771,2021-10-13,114.0,55,34771
34770,2021-10-13,113.0,63,34770
34769,2021-10-13,112.0,23,34769
34768,2021-10-13,111.0,60,34768
34767,2021-10-13,110.0,30,34767
34766,2021-10-13,109.0,23,34766
34765,2021-10-13,108.0,27,34765
34764,2021-10-13,107.0,73,34764
34763,2021-10-13,106.0,51,34763
34762,2021-10-13,105.0,11,34762
34761,2021-10-13,104.0,17,34761
34760,2021-10-13,103.0,42,34760
34759,2021-10-13,102.0,14,34759
34758,2021-10-13,100.0,20,34758
34757,2021-10-13,99.0,49,34757
34756,2021-10-13,98.0,24,34756
34755,2021-10-13,97.0,18,34755
34754,2021-10-13,96.0,65,34754
34753,2021-10-13,95.0,32,34753
34752,2021-10-13,94.0,20,34752
34751,2021-10-13,93.0,15,34751
34750,2021-10-13,92.0,33,34750
34749,2021-10-13,91.0,18,34749
34748,2021-10-13,90.0,21,34748
34747,2021-10-13,89.0,37,34747
34746,2021-10-13,87.0,50,34746
34745,2021-10-13,86.0,73,34745
34744,2021-10-13,85.0,49,34744
34743,2021-10-13,84.0,62,34743
34742,2021-10-13,83.0,32,34742
34741,2021-10-13,82.0,65,34741
34740,2021-10-13,81.0,19,34740
34739,2021-10-13,80.0,46,34739
34738,2021-10-13,79.0,60,34738
34737,2021-10-13,78.0,36,34737
34736,2021-10-13,77.0,49,34736
34735,2021-10-13,76.0,48,34735
34734,2021-10-13,75.0,45,34734
34733,2021-10-13,74.0,67,34733
34732,2021-10-13,73.0,41,34732
34731,2021-10-13,72.0,70,34731
34730,2021-10-13,71.0,65,34730
34729,2021-10-13,70.0,62,34729
34728,2021-10-13,69.0,55,34728
34727,2021-10-13,68.0,43,34727
34726,2021-10-13,67.0,49,34726
34725,2021-10-13,66.0,70,34725
34724,2021-10-13,65.0,32,34724
34723,2021-10-13,64.0,116,34723
34722,2021-10-13,63.0,47,34722
34721,2021-10-13,62.0,35,34721
34720,2021-10-13,61.0,51,34720
34719,2021-10-13,60.0,48,34719
34718,2021-10-13,59.0,74,34718
34717,2021-10-13,58.0,51,34717
34716,2021-10-13,57.0,24,34716
34715,2021-10-13,56.0,90,34715
34714,2021-10-13,55.0,28,34714
34713,2021-10-13,54.0,73,34713
34712,2021-10-13,53.0,80,34712
34711,2021-10-13,52.0,65,34711
34710,2021-10-13,51.0,43,34710
34709,2021-10-13,50.0,30,34709
34708,2021-10-13,49.0,54,34708
34707,2021-10-13,48.0,51,34707
34706,2021-10-13,47.0,76,34706
34705,2021-10-13,46.0,47,34705
34704,2021-10-13,45.0,79,34704
34703,2021-10-13,44.0,30,34703
34702,2021-10-13,43.0,73,34702
34701,2021-10-13,42.0,35,34701
34700,2021-10-13,41.0,106,34700
34699,2021-10-13,40.0,53,34699
34698,2021-10-13,39.0,44,34698
34697,2021-10-13,38.0,96,34697
34696,2021-10-13,37.0,63,34696
34695,2021-10-13,36.0,103,34695
34694,2021-10-13,35.0,60,34694
34693,2021-10-13,34.0,45,34693
34692,2021-10-13,33.0,68,34692
34691,2021-10-13,32.0,71,34691
34690,2021-10-13,31.0,52,34690
34689,2021-10-13,30.0,84,34689
34688,2021-10-13,29.0,48,34688
34687,2021-10-13,28.0,79,34687
34686,2021-10-13,27.0,96,34686
34685,2021-10-13,26.0,44,34685
34684,2021-10-13,25.0,55,34684
34683,2021-10-13,24.0,90,34683
34682,2021-10-13,23.0,48,34682
34681,2021-10-13,22.0,36,34681
34680,2021-10-13,21.0,29,34680
34679,2021-10-13,20.0,39,34679
34678,2021-10-13,19.0,50,34678
34677,2021-10-13,18.0,60,34677
34676,2021-10-13,17.0,35,34676
34675,2021-10-13,16.0,41,34675
34674,2021-10-13,15.0,47,34674
34673,2021-10-13,14.0,69,34673
34672,2021-10-13,13.0,16,34672
34671,2021-10-13,12.0,46,34671
34670,2021-10-13,11.0,75,34670
34669,2021-10-13,10.0,63,34669
34668,2021-10-13,9.0,45,34668
34667,2021-10-13,8.0,31,34667
34666,2021-10-13,7.0,69,34666
34665,2021-10-13,6.0,56,34665
34664,2021-10-13,5.0,40,34664
34663,2021-10-13,4.0,34,34663
34662,2021-10-13,3.0,60,34662
34661,2021-10-13,2.0,38,34661
34660,2021-10-13,1.0,137,34660
34659,2021-10-12,480.0,28,34659
34658,2021-10-12,479.0,16,34658
34657,2021-10-12,478.0,15,34657
34656,2021-10-12,477.0,31,34656
34655,2021-10-12,476.0,30,34655
34654,2021-10-12,475.0,24,34654
34653,2021-10-12,474.0,33,34653
34652,2021-10-12,473.0,12,34652
34651,2021-10-12,472.0,10,34651
34650,2021-10-12,471.0,20,34650
34649,2021-10-12,470.0,24,34649
34648,2021-10-12,469.0,6,34648
34647,2021-10-12,468.0,24,34647
34646,2021-10-12,467.0,10,34646
34645,2021-10-12,466.0,19,34645
34644,2021-10-12,465.0,30,34644
34643,2021-10-12,464.0,25,34643
34642,2021-10-12,463.0,34,34642
34641,2021-10-12,462.0,11,34641
34640,2021-10-12,461.0,35,34640
34639,2021-10-12,460.0,34,34639
34638,2021-10-12,459.0,15,34638
34637,2021-10-12,458.0,23,34637
34636,2021-10-12,457.0,16,34636
34635,2021-10-12,456.0,16,34635
34634,2021-10-12,455.0,41,34634
34633,2021-10-12,454.0,16,34633
34632,2021-10-12,453.0,30,34632
34631,2021-10-12,452.0,19,34631
34630,2021-10-12,451.0,12,34630
34629,2021-10-12,450.0,37,34629
34628,2021-10-12,449.0,47,34628
34627,2021-10-12,448.0,28,34627
34626,2021-10-12,447.0,37,34626
34625,2021-10-12,446.0,14,34625
34624,2021-10-12,445.0,7,34624
34623,2021-10-12,444.0,8,34623
34622,2021-10-12,443.0,21,34622
34621,2021-10-12,441.0,19,34621
34620,2021-10-12,439.0,25,34620
34619,2021-10-12,438.0,15,34619
34618,2021-10-12,437.0,5,34618
34617,2021-10-12,436.0,19,34617
34616,2021-10-12,434.0,16,34616
34615,2021-10-12,433.0,22,34615
34614,2021-10-12,432.0,14,34614
34613,2021-10-12,430.0,25,34613
34612,2021-10-12,429.0,7,34612
34611,2021-10-12,428.0,15,34611
34610,2021-10-12,427.0,18,34610
34609,2021-10-12,426.0,11,34609
34608,2021-10-12,425.0,22,34608
34607,2021-10-12,424.0,3,34607
34606,2021-10-12,423.0,10,34606
34605,2021-10-12,422.0,11,34605
34604,2021-10-12,421.0,15,34604
34603,2021-10-12,420.0,28,34603
34602,2021-10-12,419.0,12,34602
34601,2021-10-12,418.0,8,34601
34600,2021-10-12,417.0,10,34600
34599,2021-10-12,416.0,17,34599
34598,2021-10-12,415.0,14,34598
34597,2021-10-12,414.0,23,34597
34596,2021-10-12,413.0,29,34596
34595,2021-10-12,412.0,19,34595
34594,2021-10-12,411.0,1,34594
34593,2021-10-12,410.0,1,34593
34592,2021-10-12,409.0,14,34592
34591,2021-10-12,408.0,18,34591
34590,2021-10-12,407.0,6,34590
34589,2021-10-12,406.0,7,34589
34588,2021-10-12,405.0,33,34588
34587,2021-10-12,404.0,35,34587
34586,2021-10-12,403.0,4,34586
34585,2021-10-12,402.0,16,34585
34584,2021-10-12,401.0,14,34584
34583,2021-10-12,400.0,22,34583
34582,2021-10-12,399.0,18,34582
34581,2021-10-12,398.0,40,34581
34580,2021-10-12,397.0,12,34580
34579,2021-10-12,396.0,28,34579
34578,2021-10-12,395.0,16,34578
34577,2021-10-12,394.0,14,34577
34576,2021-10-12,393.0,12,34576
34575,2021-10-12,392.0,24,34575
34574,2021-10-12,391.0,44,34574
34573,2021-10-12,390.0,60,34573
34572,2021-10-12,389.0,25,34572
34571,2021-10-12,388.0,8,34571
34570,2021-10-12,387.0,11,34570
34569,2021-10-12,386.0,27,34569
34568,2021-10-12,385.0,47,34568
34567,2021-10-12,384.0,31,34567
34566,2021-10-12,383.0,11,34566
34565,2021-10-12,382.0,16,34565
34564,2021-10-12,381.0,24,34564
34563,2021-10-12,380.0,12,34563
34562,2021-10-12,379.0,14,34562
34561,2021-10-12,378.0,6,34561
34560,2021-10-12,377.0,24,34560
34559,2021-10-12,376.0,14,34559
34558,2021-10-12,375.0,17,34558
34557,2021-10-12,374.0,19,34557
34556,2021-10-12,373.0,10,34556
34555,2021-10-12,372.0,37,34555
34554,2021-10-12,371.0,19,34554
34553,2021-10-12,370.0,12,34553
34552,2021-10-12,369.0,50,34552
34551,2021-10-12,368.0,11,34551
34550,2021-10-12,367.0,12,34550
34549,2021-10-12,366.0,17,34549
34548,2021-10-12,365.0,26,34548
34547,2021-10-12,364.0,17,34547
34546,2021-10-12,363.0,23,34546
34545,2021-10-12,362.0,13,34545
34544,2021-10-12,361.0,18,34544
34543,2021-10-12,360.0,8,34543
34542,2021-10-12,359.0,29,34542
34541,2021-10-12,358.0,13,34541
34540,2021-10-12,357.0,20,34540
34539,2021-10-12,356.0,26,34539
34538,2021-10-12,355.0,16,34538
34537,2021-10-12,354.0,25,34537
34536,2021-10-12,353.0,11,34536
34535,2021-10-12,352.0,16,34535
34534,2021-10-12,351.0,35,34534
34533,2021-10-12,350.0,23,34533
34532,2021-10-12,349.0,14,34532
34531,2021-10-12,348.0,28,34531
34530,2021-10-12,347.0,23,34530
34529,2021-10-12,346.0,12,34529
34528,2021-10-12,345.0,13,34528
34527,2021-10-12,344.0,9,34527
34526,2021-10-12,343.0,12,34526
34525,2021-10-12,342.0,18,34525
34524,2021-10-12,341.0,38,34524
34523,2021-10-12,340.0,46,34523
34522,2021-10-12,339.0,18,34522
34521,2021-10-12,338.0,26,34521
34520,2021-10-12,337.0,28,34520
34519,2021-10-12,336.0,9,34519
34518,2021-10-12,335.0,14,34518
34517,2021-10-12,334.0,28,34517
34516,2021-10-12,333.0,15,34516
34515,2021-10-12,332.0,10,34515
34514,2021-10-12,331.0,30,34514
34513,2021-10-12,330.0,17,34513
34512,2021-10-12,329.0,28,34512
34511,2021-10-12,328.0,12,34511
34510,2021-10-12,327.0,22,34510
34509,2021-10-12,326.0,42,34509
34508,2021-10-12,325.0,29,34508
34507,2021-10-12,324.0,20,34507
34506,2021-10-12,323.0,18,34506
34505,2021-10-12,322.0,9,34505
34504,2021-10-12,321.0,48,34504
34503,2021-10-12,320.0,27,34503
34502,2021-10-12,319.0,8,34502
34501,2021-10-12,318.0,23,34501
34500,2021-10-12,317.0,49,34500
34499,2021-10-12,316.0,35,34499
34498,2021-10-12,314.0,24,34498
34497,2021-10-12,313.0,18,34497
34496,2021-10-12,312.0,24,34496
34495,2021-10-12,311.0,11,34495
34494,2021-10-12,310.0,50,34494
34493,2021-10-12,309.0,12,34493
34492,2021-10-12,308.0,15,34492
34491,2021-10-12,307.0,13,34491
34490,2021-10-12,306.0,35,34490
34489,2021-10-12,305.0,59,34489
34488,2021-10-12,304.0,21,34488
34487,2021-10-12,303.0,26,34487
34486,2021-10-12,302.0,42,34486
34485,2021-10-12,301.0,37,34485
34484,2021-10-12,300.0,13,34484
34483,2021-10-12,299.0,31,34483
34482,2021-10-12,298.0,26,34482
34481,2021-10-12,297.0,44,34481
34480,2021-10-12,296.0,20,34480
34479,2021-10-12,295.0,80,34479
34478,2021-10-12,294.0,12,34478
34477,2021-10-12,293.0,21,34477
34476,2021-10-12,292.0,29,34476
34475,2021-10-12,291.0,50,34475
34474,2021-10-12,290.0,20,34474
34473,2021-10-12,289.0,15,34473
34472,2021-10-12,288.0,27,34472
34471,2021-10-12,287.0,25,34471
34470,2021-10-12,286.0,42,34470
34469,2021-10-12,285.0,13,34469
34468,2021-10-12,284.0,23,34468
34467,2021-10-12,283.0,10,34467
34466,2021-10-12,282.0,20,34466
34465,2021-10-12,281.0,47,34465
34464,2021-10-12,280.0,61,34464
34463,2021-10-12,279.0,21,34463
34462,2021-10-12,278.0,17,34462
34461,2021-10-12,277.0,30,34461
34460,2021-10-12,275.0,7,34460
34459,2021-10-12,274.0,34,34459
34458,2021-10-12,273.0,26,34458
34457,2021-10-12,272.0,44,34457
34456,2021-10-12,271.0,97,34456
34455,2021-10-12,270.0,66,34455
34454,2021-10-12,269.0,35,34454
34453,2021-10-12,268.0,12,34453
34452,2021-10-12,267.0,27,34452
34451,2021-10-12,266.0,79,34451
34450,2021-10-12,265.0,23,34450
34449,2021-10-12,264.0,19,34449
34448,2021-10-12,263.0,26,34448
34447,2021-10-12,262.0,20,34447
34446,2021-10-12,261.0,10,34446
34445,2021-10-12,260.0,22,34445
34444,2021-10-12,259.0,34,34444
34443,2021-10-12,258.0,37,34443
34442,2021-10-12,257.0,38,34442
34441,2021-10-12,256.0,50,34441
34440,2021-10-12,255.0,40,34440
34439,2021-10-12,254.0,50,34439
34438,2021-10-12,253.0,27,34438
34437,2021-10-12,252.0,20,34437
34436,2021-10-12,251.0,27,34436
34435,2021-10-12,250.0,24,34435
34434,2021-10-12,249.0,2,34434
34433,2021-10-12,248.0,30,34433
34432,2021-10-12,247.0,17,34432
34431,2021-10-12,246.0,24,34431
34430,2021-10-12,245.0,19,34430
34429,2021-10-12,244.0,16,34429
34428,2021-10-12,243.0,25,34428
34427,2021-10-12,241.0,22,34427
34426,2021-10-12,240.0,28,34426
34425,2021-10-12,239.0,21,34425
34424,2021-10-12,238.0,31,34424
34423,2021-10-12,237.0,39,34423
34422,2021-10-12,236.0,31,34422
34421,2021-10-12,235.0,15,34421
34420,2021-10-12,234.0,20,34420
34419,2021-10-12,233.0,17,34419
34418,2021-10-12,232.0,24,34418
34417,2021-10-12,231.0,18,34417
34416,2021-10-12,230.0,21,34416
34415,2021-10-12,229.0,15,34415
34414,2021-10-12,228.0,25,34414
34413,2021-10-12,227.0,20,34413
34412,2021-10-12,226.0,17,34412
34411,2021-10-12,225.0,22,34411
34410,2021-10-12,224.0,20,34410
34409,2021-10-12,223.0,33,34409
34408,2021-10-12,222.0,20,34408
34407,2021-10-12,221.0,24,34407
34406,2021-10-12,220.0,11,34406
34405,2021-10-12,219.0,32,34405
34404,2021-10-12,218.0,8,34404
34403,2021-10-12,217.0,82,34403
34402,2021-10-12,216.0,23,34402
34401,2021-10-12,215.0,15,34401
34400,2021-10-12,214.0,26,34400
34399,2021-10-12,213.0,3,34399
34398,2021-10-12,212.0,29,34398
34397,2021-10-12,211.0,58,34397
34396,2021-10-12,210.0,18,34396
34395,2021-10-12,209.0,32,34395
34394,2021-10-12,208.0,57,34394
34393,2021-10-12,207.0,25,34393
34392,2021-10-12,206.0,57,34392
34391,2021-10-12,205.0,23,34391
34390,2021-10-12,204.0,26,34390
34389,2021-10-12,203.0,11,34389
34388,2021-10-12,202.0,7,34388
34387,2021-10-12,201.0,24,34387
34386,2021-10-12,200.0,14,34386
34385,2021-10-12,199.0,6,34385
34384,2021-10-12,198.0,22,34384
34383,2021-10-12,197.0,73,34383
34382,2021-10-12,196.0,17,34382
34381,2021-10-12,195.0,45,34381
34380,2021-10-12,194.0,66,34380
34379,2021-10-12,192.0,34,34379
34378,2021-10-12,191.0,22,34378
34377,2021-10-12,190.0,22,34377
34376,2021-10-12,189.0,29,34376
34375,2021-10-12,188.0,21,34375
34374,2021-10-12,187.0,45,34374
34373,2021-10-12,186.0,39,34373
34372,2021-10-12,185.0,52,34372
34371,2021-10-12,184.0,27,34371
34370,2021-10-12,183.0,68,34370
34369,2021-10-12,182.0,105,34369
34368,2021-10-12,181.0,51,34368
34367,2021-10-12,180.0,57,34367
34366,2021-10-12,179.0,59,34366
34365,2021-10-12,178.0,30,34365
34364,2021-10-12,177.0,28,34364
34363,2021-10-12,176.0,15,34363
34362,2021-10-12,175.0,11,34362
34361,2021-10-12,174.0,75,34361
34360,2021-10-12,173.0,44,34360
34359,2021-10-12,172.0,34,34359
34358,2021-10-12,171.0,28,34358
34357,2021-10-12,170.0,42,34357
34356,2021-10-12,169.0,50,34356
34355,2021-10-12,168.0,37,34355
34354,2021-10-12,167.0,45,34354
34353,2021-10-12,166.0,22,34353
34352,2021-10-12,165.0,47,34352
34351,2021-10-12,164.0,57,34351
34350,2021-10-12,163.0,49,34350
34349,2021-10-12,162.0,49,34349
34348,2021-10-12,161.0,26,34348
34347,2021-10-12,160.0,23,34347
34346,2021-10-12,159.0,46,34346
34345,2021-10-12,158.0,59,34345
34344,2021-10-12,157.0,23,34344
34343,2021-10-12,156.0,38,34343
34342,2021-10-12,155.0,6,34342
34341,2021-10-12,154.0,56,34341
34340,2021-10-12,153.0,40,34340
34339,2021-10-12,152.0,40,34339
34338,2021-10-12,151.0,71,34338
34337,2021-10-12,150.0,58,34337
34336,2021-10-12,149.0,75,34336
34335,2021-10-12,148.0,24,34335
34334,2021-10-12,147.0,22,34334
34333,2021-10-12,146.0,82,34333
34332,2021-10-12,145.0,60,34332
34331,2021-10-12,144.0,44,34331
34330,2021-10-12,143.0,34,34330
34329,2021-10-12,142.0,58,34329
34328,2021-10-12,141.0,73,34328
34327,2021-10-12,140.0,53,34327
34326,2021-10-12,139.0,40,34326
34325,2021-10-12,138.0,47,34325
34324,2021-10-12,137.0,52,34324
34323,2021-10-12,136.0,80,34323
34322,2021-10-12,135.0,61,34322
34321,2021-10-12,134.0,40,34321
34320,2021-10-12,133.0,60,34320
34319,2021-10-12,132.0,31,34319
34318,2021-10-12,131.0,51,34318
34317,2021-10-12,130.0,33,34317
34316,2021-10-12,129.0,44,34316
34315,2021-10-12,128.0,43,34315
34314,2021-10-12,127.0,27,34314
34313,2021-10-12,126.0,50,34313
34312,2021-10-12,125.0,66,34312
34311,2021-10-12,124.0,88,34311
34310,2021-10-12,123.0,50,34310
34309,2021-10-12,122.0,25,34309
34308,2021-10-12,121.0,58,34308
34307,2021-10-12,120.0,41,34307
34306,2021-10-12,119.0,56,34306
34305,2021-10-12,118.0,28,34305
34304,2021-10-12,117.0,45,34304
34303,2021-10-12,116.0,55,34303
34302,2021-10-12,115.0,51,34302
34301,2021-10-12,114.0,37,34301
34300,2021-10-12,113.0,63,34300
34299,2021-10-12,112.0,29,34299
34298,2021-10-12,111.0,46,34298
34297,2021-10-12,110.0,30,34297
34296,2021-10-12,109.0,22,34296
34295,2021-10-12,108.0,13,34295
34294,2021-10-12,107.0,49,34294
34293,2021-10-12,106.0,44,34293
34292,2021-10-12,105.0,14,34292
34291,2021-10-12,104.0,19,34291
34290,2021-10-12,103.0,56,34290
34289,2021-10-12,102.0,9,34289
34288,2021-10-12,100.0,16,34288
34287,2021-10-12,99.0,33,34287
34286,2021-10-12,98.0,27,34286
34285,2021-10-12,97.0,30,34285
34284,2021-10-12,96.0,62,34284
34283,2021-10-12,95.0,32,34283
34282,2021-10-12,94.0,22,34282
34281,2021-10-12,93.0,15,34281
34280,2021-10-12,92.0,35,34280
34279,2021-10-12,91.0,22,34279
34278,2021-10-12,90.0,24,34278
34277,2021-10-12,89.0,22,34277
34276,2021-10-12,87.0,55,34276
34275,2021-10-12,86.0,48,34275
34274,2021-10-12,85.0,50,34274
34273,2021-10-12,84.0,73,34273
34272,2021-10-12,83.0,42,34272
34271,2021-10-12,82.0,64,34271
34270,2021-10-12,81.0,20,34270
34269,2021-10-12,80.0,62,34269
34268,2021-10-12,79.0,49,34268
34267,2021-10-12,78.0,20,34267
34266,2021-10-12,77.0,62,34266
34265,2021-10-12,76.0,44,34265
34264,2021-10-12,75.0,43,34264
34263,2021-10-12,74.0,63,34263
34262,2021-10-12,73.0,59,34262
34261,2021-10-12,72.0,69,34261
34260,2021-10-12,71.0,58,34260
34259,2021-10-12,70.0,74,34259
34258,2021-10-12,69.0,53,34258
34257,2021-10-12,68.0,40,34257
34256,2021-10-12,67.0,50,34256
34255,2021-10-12,66.0,65,34255
34254,2021-10-12,65.0,25,34254
34253,2021-10-12,64.0,116,34253
34252,2021-10-12,63.0,42,34252
34251,2021-10-12,62.0,34,34251
34250,2021-10-12,61.0,55,34250
34249,2021-10-12,60.0,49,34249
34248,2021-10-12,59.0,69,34248
34247,2021-10-12,58.0,48,34247
34246,2021-10-12,57.0,21,34246
34245,2021-10-12,56.0,74,34245
34244,2021-10-12,55.0,30,34244
34243,2021-10-12,54.0,56,34243
34242,2021-10-12,53.0,58,34242
34241,2021-10-12,52.0,73,34241
34240,2021-10-12,51.0,53,34240
34239,2021-10-12,50.0,28,34239
34238,2021-10-12,49.0,50,34238
34237,2021-10-12,48.0,29,34237
34236,2021-10-12,47.0,51,34236
34235,2021-10-12,46.0,62,34235
34234,2021-10-12,45.0,86,34234
34233,2021-10-12,44.0,32,34233
34232,2021-10-12,43.0,89,34232
34231,2021-10-12,42.0,38,34231
34230,2021-10-12,41.0,123,34230
34229,2021-10-12,40.0,45,34229
34228,2021-10-12,39.0,31,34228
